CC(OC/C=C(C)/CCC=C(C)C)=O	Singab_001
CC1(O2)CCC(C2(C)C)CC1	Singab_002
CC1=CC(C2C(C)(C)C1C2)=O	Singab_003
CC(CCC1C2(C)C)(C1)C2=O	Singab_004
C=C(C(C1)CCC=C1CCC=C(C)C)CCC=C(C)C	Singab_005
CC(C)=CCCC1=CCC(C(CCC=C(C)C)=C)CC1	Singab_006
C=CC(CCC=C(C)C)=C	Singab_007
CC1=CCC(C(C)=C)CC1	Singab_008
CC1=CC[C@H]2C(C)(C)[C@@H]1C2	Singab_009
OCC1=CC[C@]2([H])C(C(O)=O)=CO[C@](O[C@@]3([H])[C@@](O)([H])[C@](O)([H])[C@@](O)([H])[C@@](O3)([H])CO)([H])[C@]12[H]	Singab_010
OC[C@]1([H])[C@](O)([H])[C@@](O)([H])[C@](O)([H])[C@@](O[C@@]2([H])[C@@]3([H])[C@@]([C@@](O)([H])[C@@](O4)([H])[C@@]34CO)([H])C=CO2)([H])O1	Singab_011
CC1CCC(C(C)C)CC1	Singab_012
O=C1[C@H](C(C)C)CC[C@H](C)C1	Singab_013
C[C@H](CC[C@H]1C(C)C)CC1=O	Singab_014
CC1=CC[C@@H](C(C)(O)C)CC1	Singab_015
CC(CC[C@@H]1C(C)C)=CC1=O	Singab_016
CC1C=CC(C2(C)C)C2C1	Singab_017
CC1=CC=C(C(C)C)CC1	Singab_018
C=CC(C)(O)CCC=C(C)C	Singab_019
OC1(C)C=CC(C(C)C)CC1	Singab_020
CC1(CC(CC(C)C)=O)CC[C@](C2=COC=C2)([H])O1	Singab_021
CC(CC(C=C(C)C)=O)(C)O[C@@](C1=COC=C1)([H])C	Singab_022
C[C@@]1(CC(C=C(C)C)=O)CC[C@](C2=COC=C2)([H])O1	Singab_023
O=C(CC(C)C)C[C@H](CCC(C1=COC=C1)=O)C	Singab_024
O=C(CC(C)C)C[C@H](C)CCC(C1=COC=C1)=O	Singab_025
O=C(C=C(C)C)C[C@@H](C)CCC(C1=COC=C1)=O	Singab_026
CC(/C=C1OC(C(C)=C\1)=O)=C\C#CC2=COC=C2	Singab_027
CC(/C=C1OC(C(C)=C\1)=O)=C\C=C\C2=COC=C2	Singab_028
C/C(CC1OC(C(C)=C1)=O)=C\CCC2=COC=C2	Singab_029
C[C@]12CC[C@@](O1)(O[C@@](C=C(C)C)([H])C2)C3=COC=C3	Singab_030
C/C(CC([H])([H])C=C(C)C)=C\CCC1=COC=C1	Singab_031
C/C(C[C@]([H])(O)C=C(C)C)=C\CCC1=COC=C1	Singab_032
C/C(CCCC1=COC=C1)=C\C(C=C(C)C)=O	Singab_033
CC(C)C[C@@]1(O)C(C(C2=COC=C2)=O)C[C@@H](C)C1	Singab_034
C[C@H]1CCC(C2=COC=C2)(O)C1C(CC(C)C)=O	Singab_035
OC1(C2=COC=C2)C(C(C=C(C)C)=O)[C@@H](C)CC1	Singab_036
C[C@](O1)(CC(CC(C)(O)C)=O)CCC1C2=COC=C2	Singab_037
CC1=C[C@H](OC1=O)C/C(C)=C/[C@H](O)CC2=CC(OC2)=O	Singab_038
CC1=C[C@H](OC1=O)C/C(C)=C/[C@H](OC(C)=O)CC2=CC(OC2)=O	Singab_039
CC1=C[C@H](OC1=O)C/C(C)=C/C([H])CC2=CC(OC2)=O	Singab_040
CC(C)=C[C@@H](OC(C)=O)C/C(C)=C/CCC1=CC(OC1)=O	Singab_041
O=C1C([H])[C@@H](C(C)C)C[C@]2(C)[C@@H](C)CCC=C21	Singab_042
O=C1C(O)[C@@H](C(C)C)C[C@]2(C)[C@@H](C)CCC=C21	Singab_043
O=C1C[C@@H]([C@@H](C)C=O)C[C@]2(C)[C@@H](C)CCC=C21	Singab_044
C[C@H]([C@@]1(C)CC2=C(C)C)CCCC1=C(O)C2=O	Singab_045
C[C@H]([C@@]1(C)CC2=C(C)C)CCCC1=CC2=O	Singab_046
CC(C(C1[H])C[C@]2(C)[C@@H](C)CCC=C2C1=O)=C	Singab_047
C[C@H]1CCC=C2[C@]1(C)CC(C(C=O)=C)C([H])C2=O	Singab_048
CC(C([C@H]1O)C[C@]2(C)[C@@H](C)CCC=C2C1=O)=C	Singab_049
CC(C([C@H]1O)C[C@]2(C)[C@@H](C)CC=C[C@]2([H])C1=O)=C	Singab_050
CC(C(C1[H])C[C@]2(C)[C@@H](C)CC=C[C@]2([H])C1=O)=C	Singab_051
CC(C([C@H]1O)C[C@]2(C)[C@@H](C)CCCC2C1=O)=C	Singab_052
CC(C)=C1C[C@]2(C)[C@@H](C)CC=CC2=C(O)C1=O	Singab_053
O=C(C1=CCC[C@H](C)[C@@]1(C)C2)C=C2[C@]3(C)CC[C@]([H])(C)C4=C3C(C5=CCC[C@H](C)[C@@]5(C)C4)=O	Singab_054
O=C(C1=CCC[C@H](C)[C@@]1(C)C2)C=C2[C@]3(C)CC[C@](O)(C)C4=C3C(C5=CCC[C@H](C)[C@@]5(C)C4)=O	Singab_055
C[C@@]12C(C[C@H](C(C)(O)C)CC2)C(CCC1)=C	Singab_056
C[C@]1(C2)C(C[C@H](C(C)(O)C)[C@@H](O)C1)C(C)=CC2=O	Singab_057
C[C@]1(C2)C(C[C@H](C(C)(O)C)[C@@H](OC(C)=O)C1)C(C)=CC2=O	Singab_058
C[C@]1(C2)C(C[C@H](C(C)(O)C)[C@@H](O)C1)C(C)=CC2=O	Singab_059
[H]C1=CC2=C(C=C1C)[C@@H](C(C)C)CC[C@H]2C	Singab_060
OC1=CC2=C(C=C1C)[C@@H](C(C)C)CC[C@H]2C	Singab_061
[H][C@@]12[C@](C(C)C)([H])CC[C@](C)(O)[C@@]1([H])CC[C@@]2([H])C(C)=O	Singab_062
C=C[C@@]1(C)[C@](C[C@@](C(C)(O)C)([H])CC1)([H])C(C)=C	Singab_063
C=C1CC[C@H]2[C@H](C2(C)C)[C@@]3([H])[C@@]1([H])CC[C@@]3(O)C	Singab_064
OCC([C@@]1([H])CC[C@](C)([H])[C@]2([H])[C@]1([H])C=C(C(O)=O)CC2)=C	Singab_065
[H]CC([C@@]1([H])CC[C@](C)(O)[C@]2([H])[C@]1([H])C=C(C(O)=O)CC2)=C	Singab_066
OCC([C@]1([H])CC[C@](C)([H])[C@]2([H])[C@@]1([H])C=C(C(O)=O)CC2)=C	Singab_067
[H][C@@]12[C@]([C@]3(C)CO3)([H])CC[C@](C)([H])[C@@]1([H])CCC(C(O)=O)=C2	Singab_068
OC[C@H](C)[C@@]1([H])CC[C@](C)([H])[C@]2([H])[C@]1([H])C=C(C(O)=O)CC2	Singab_069
CC1(C)[C@@](C)(O)[C@]2([H])C[C@]3(CC2)[C@@](C)([H])CC[C@]31[H]	Singab_070
CC1(C)[C@@]([H])(O)[C@]2(C)C[C@]3(CC2)[C@@](C)([H])CC[C@]31[H]	Singab_071
CC([C@@]1([H])[C@@]2(CC3)[C@@](C)([H])CC1)(C)C([C@]3(C)C2)=O	Singab_072
CC([C@@]1([H])[C@@]2(CC3)[C@@](C)([H])CC1)(C)C([C@]3([H])C2)=C	Singab_073
C/C(CC/C=C(C(O)=O)\CC/C=C(C)\CC/C=C(C[H])\CO)=C/C(O)=O	Singab_074
C/C(CC/C=C(C(O)=O)\CC/C=C(C)\CC/C=C(C[H])\COC(C)=O)=C/C(O)=O	Singab_075
C/C(CC/C=C(C(O)=O)\CC/C=C(C)\CC/C=C(CO)\C[H])=C/C(O)=O	Singab_076
C/C(CC/C=C(C(O)=O)\CC/C=C(C)\CC/C=C(COC(C)=O)\C[H])=C/C(O)=O	Singab_077
C/C(CC/C=C(C(O)=O)\CC/C=C(C)\CC/C=C(C(O)=O)\C)=C/C(O)=O	Singab_078
C/C(CC/C=C(C(O)=O)\CC/C=C(C)\CC/C=C(C)\C(O)=O)=C/C(O)=O	Singab_079
C/C(CC/C=C(C(O)=O)\CC/C=C(C=O)\CC/C=C(C(O)=O)\C)=C/C(O)=O	Singab_080
C/C(CC/C=C(C(O)=O)\CC/C=C(C(O)=O)\CC/C=C(C(O)=O)\C)=C/C(O)=O	Singab_081
C/C(CC/C=C(C(O)=O)\CC/C=C(C(O)=O)\C)=C/CC/C(C)=C/C(O)=O	Singab_082
C/C(CC/C=C(C(O)=O)\CC/C=C(C(O)=O)\C)=C/CC[C@]([H])(C)CC(O)=O	Singab_083
C/C(CC/C=C(C=O)\CC/C=C(C(O)=O)\C)=C/CC[C@]([H])(C)CC(O)=O	Singab_084
C/C1=C/CC/C(C)=C\CC[C@@](C)(O)[C@](OC2(C)C)([H])C[C@@]2([H])CC1	Singab_085
C/C1=C/CC/C(C(O)=O)=C\CC[C@]([H])(C(O)=O)[C@@](OC2(C)C)([H])C[C@@]2([H])CC1	Singab_086
C/C1=C/CC/C(C(OC)=O)=C\CC[C@]([H])(C(OC)=O)[C@@](OC2(C)C)([H])C[C@@]2([H])CC1	Singab_087
C/C1=C/CC/C(C=O)=C\CC[C@]([H])(C(O)=O)[C@@](OC2(C)C)([H])C[C@@]2([H])CC1	Singab_088
C/C1=C/CC/C(C=O)=C\CC[C@]([H])(COC(CC(O)=O)=O)[C@@](OC2(C)C)([H])C[C@@]2([H])CC1	Singab_089
C/C1=C/CC/C(C=O)=C\CC[C@]([H])(CO)[C@@](OC2(C)C)([H])C[C@@]2([H])CC1	Singab_090
C/C1=C/CC/C(C(O)=O)=C\CC[C@]([H])(COC(C)=O)[C@@](OC2(C)C)([H])C[C@@]2([H])CC1	Singab_091
C/C1=C/CC/C(C)=C\CC[C@]([H])(C(O)=O)[C@@](OC2(C)C)([H])C[C@@]2([H])CC1	Singab_092
C/C(CC[C@](C(C)(O)C)([H])CC([H])[C@@]([H])(CO)CCC1)=C/CC[C@@H]1CO	Singab_093
C/C1=C/CCC(CO)CCC/C(C)=C\C[C@@](C(C)(O)C)([H])CC1	Singab_094
C/C1=C/CC/C(CO)=C\CC/C(C)=C\C[C@@](C(C)(O)C)([H])CC1	Singab_095
CC(C)=CCC/C(C(O)=O)=C\[C@@]1([H])C[C@](C)([H])[C@](CCC(C)=C2)([H])[C@]2([H])O1	Singab_096
CC(C)=CCC/C(C(O)=O)=C\C[C@](O1)([H])[C@@]([H])(C)[C@]2([H])[C@@]1([H])C=C(C)CC2	Singab_097
CC(C)=CCC/C(C(O)=O)=C\[C@]([H])(OC(C)=O)C[C@](C)([H])[C@]1([H])C=C[C@@](C)(O)CC1	Singab_098
C=C(CCC[C@@](C)([H])[C@]1([H])CC[C@@]([H])(COC(C)=O)C2=C1C=C(C(O)=O)C=C2O)C	Singab_099
CC(C)C(CC[C@@](C)([H])[C@]1([H])CC[C@@]([H])(CO)C2=C1C=C(C(O)=O)C=C2O)=O	Singab_100
C/C(CO)=C\CC[C@@](C)([H])[C@]1([H])CC[C@@]([H])(C)C2=C1C=C(C(O)=O)C=C2O	Singab_101
C/C(COC(C)=O)=C\CC[C@@](C)([H])[C@]1([H])CC[C@@]([H])(C)C2=C1C=C(C(O)=O)C=C2O	Singab_102
CC(C)=CCC[C@@](C)([H])[C@]1([H])CC[C@@]([H])(C)C2=C1C=C(CO)C=C2O	Singab_103
CC(C)=CCC[C@@](C)([H])[C@]1([H])CC(C)[C@@]([H])(C)C2=C1C=C(COC(C)=O)C=C2O.O=C=O	Singab_104
CC(C)=CCC[C@@](C)([H])[C@]1([H])CC[C@@]([H])(C)C2=C1C=C(C(O)=O)C=C2O	Singab_105
CC(C)=CCC[C@@](C)([H])[C@]1([H])CC[C@@]([H])(CO)C2=C1C=C(C(O)=O)C=C2O	Singab_106
CC(C)=CCC[C@@](C)([H])[C@]1([H])CC[C@@]([H])(COC(C)=O)C2=C1C=C(C(O)=O)C=C2OC(C)=O	Singab_107
CC(C)=CCC[C@@](C)([H])[C@]1([H])CC[C@@]([H])(CO)C2=C1C=C(C)C(O)=C2O	Singab_108
CC(C)=CCC[C@@](C)([H])[C@]1([H])CC(O)[C@@]([H])(CO)C2=C1C=C(C)C(O)=C2O	Singab_109
CC(C)=CCC[C@@](C)([H])[C@]1([H])CC(O)[C@@]([H])(CO)C2=C1C=C(C)C=C2O	Singab_110
CC(C)=CCC[C@]([H])(C=O)[C@]1([H])CC[C@@]([H])(C)C2=C1C(O)=C(C)C=C2O	Singab_111
CC(C)=CCC[C@@](C)([H])[C@]1([H])CC[C@@]([H])(CO)C2=C1C=C(CO)C=C2O	Singab_112
CC(C)=CCC[C@]([H])(CO)[C@]1([H])CC[C@@]([H])(C)C2=C1C=C(C)C=C2O	Singab_113
CC(C)=CCC[C@@](C)([H])[C@]1([H])C(O)C[C@@]([H])(C)C2=C1C=C(C(O)=O)C=C2O	Singab_114
CC(C)=CCC[C@@](C)([H])[C@]1([H])CC[C@@]([H])(COC(C)=O)C2=C1C=C(C(O)=O)C=C2O	Singab_115
CC(C)=CCC[C@@](C)([H])[C@]1([H])CC[C@@]([H])(CO)C2=C1C=C(C(O)=O)C=C2O	Singab_116
CC(C)=CCC[C@@](C)([H])[C@]1([H])C(O)C[C@@]([H])(CO)C2=C1C=C(C)C(O)=C2O	Singab_117
CC(C)=CCC[C@@](C)([H])[C@]1([H])CC[C@@]([H])(C)C2=C1C=C(C(O)=O)C=C2	Singab_118
CC(C)=CCC[C@@](C)([H])[C@]1([H])C(O)C[C@@]([H])(CO)C2=C1C=C(C)C=C2O	Singab_119
CC(C)=CCC[C@@](C)([H])[C@]1([H])C(O)C[C@H](CO)C2=C1C=C(C)C=C2O	Singab_120
C[C@](CCC[C@]([H])(CO)[C@]1([H])CC[C@](C)([H])C2=C1C=C(C(O)=O)C(O)=C2O)([H])CO	Singab_121
C[C@](CCC[C@]([H])(COC(C)=O)[C@]1([H])CC[C@](C)([H])C2=C1C=C(C(O)=O)C(O)=C2O)([H])CO	Singab_122
C[C@](CCC[C@]([H])(COC(C)=O)[C@]1([H])CC[C@](C)([H])C2=C1C=C(C(O)=O)C(O)=C2O)([H])COC(C)=O	Singab_123
C[C@](CCC[C@@](C)([H])[C@]1([H])CC[C@](C)([H])C2=C1C=C(C(O)=O)C=C2)([H])CO	Singab_124
C[C@](CCC[C@@](C)([H])[C@]1([H])CC[C@](C)([H])C2=C1C=C(C(O)=O)C(O)=C2O)([H])CO	Singab_125
CC(C)=CCC[C@@](C1=CC=CC(C2=O)=C1C3=C(C)C2=O)(CO3)[H]	Singab_126
C[C@](CCC[C@]1([H])COC2=C(C(O)=O)C(O)=C(O)C3=C2[C@@]1([H])CC[C@]3(C)[H])([H])CO	Singab_127
CC(C)=CCCC1=COC(C2=C(C(C)=CC=C12)C3=O)=C(C)C3=O	Singab_128
[H][C@@](C[C@]1(C=C(C)C)[H])(C)[C@]2([H])CC[C@@]([H])(C)C3=C2C1=C(C(O)=O)C=C3O	Singab_129
CC(C)=CCC[C@@]([C@H]1CC[C@H](C)[C@@]12CC=C(C(O)=O)[C@@H](O)C2)([H])C	Singab_130
C/C(C(O)=O)=C\CC[C@@]([C@H]1CC[C@H](C)[C@@]12CC=C(C)[C@@H](O)C2)([H])C	Singab_131
C/C(C(OOC)=O)=C\CC[C@@]([C@H]1CC[C@H](C)[C@@]12CC=C(C)[C@@H](O)C2)([H])C	Singab_132
CC(C)=CCC[C@@]([C@H]1CC[C@H](CO)[C@@]12CC=C(C(O)=O)[C@@H](O)C2)([H])C	Singab_133
CC(C)=CCC[C@@]([C@H]1CC[C@H](C(O)=O)[C@@]12CC=C(C)[C@@H](O)C2)([H])C	Singab_134
C[C@](CCC[C@@]([C@H]1CC[C@H](C)[C@@]12CC=C(C(O)=O)[C@@H](O)C2)([H])C)([H])CO	Singab_135
C[C@](CCC[C@@]([C@H]1CC[C@H](C)[C@@]12CC=C(C)[C@@H](O)C2)([H])C)([H])CO	Singab_136
C[C@](CCC[C@@]([C@H]1CC[C@H](C)[C@@]12CC=C(C)[C@@H](O)C2)([H])C)([H])COC(C)=O	Singab_137
C[C@](CCC[C@@]([C@H]1CC[C@H](C)[C@@]12CC=C(C)[C@@H](O)C2)([H])C)([H])C(O)=O	Singab_138
C[C@](CCC[C@@]([C@H]1CC[C@H](C)[C@@]12CC=C(C)C(C2)=O)([H])C)([H])CO	Singab_139
C[C@](CCC[C@@]([C@H]1CC[C@H](C)[C@@]12CC=C(C)C(C2)=O)([H])C)([H])C(O)=O	Singab_140
CC(C(CC[C@@]([C@H]1CC[C@H](C)[C@@]12CC=C(C(O)=O)[C@@H](O)C2)([H])C)=O)C	Singab_141
C/C(C(O)=O)=C\CC[C@@]([C@H]1CC[C@H](C)[C@@]12CC=C(C)C(C2)=O)([H])C	Singab_142
