filename	ATTRIBUTE_origin	ATTRIBUTE_leaf.resin	ATTRIBUTE_pollination	ATTRIBUTE_traditional.use	ATTRIBUTE_antibacterial.activity	ATTRIBUTE_leaf.hairiness	ATTRIBUTE_phylo.clade	ATTRIBUTE_phylo.clade.general	ATTRIBUTE_biogeography	ATTRIBUTE_sample.weight.mg
002_RMF49_6ul_BA2_01_22632.mzML	Eremophila_Wubin_north_RMF49	0	0	0	NA	1	h3	h3	1	18.1
006_RMF53_6ul_BA6_01_22636.mzML	Eremophila_glabra_paynes_find_RMF53	1	1	0	NA	1	h14	h14	1	6.9
007_RMF54_6ul_BA7_01_22637.mzML	Eremophila_platycalyx_granite_RMF54	0	1	0	NA	1	h11	h11	1	14.8
008_RMF55_6ul_BA8_01_22638.mzML	Eremophila_aff_anomala_RMF55	0	0	0	NA	1	h10	h10	1	13.4
009_RMF56_6ul_BB1_01_22639.mzML	Eremophila_aff_pungens_RMF56	1	0	0	NA	1	h12	h12	1	5.7
011_RMF58_6ul_BB3_01_22647.mzML	Eremophila_galeata_RMF58	1	1	0	1	1	h11	h11	1	12
012_RMF59_6ul_BB4_01_22648.mzML	Eremophila_demissa_RMF59	0	0	0	NA	1	h10	h10	1	7.2
014_RMF61_6ul_BB6_01_22650.mzML	Eremophila_spectabilis_spectabilis_RMF61	1	0	0	NA	1	h12	h12	1	12
017_RMF64_6ul_BC1_01_22653.mzML	Eremophila_lanceolata_RMF64	1	0	0	NA	0	h12	h12	1	9.6
018_RMF65_6ul_BC2_01_22654.mzML	Eremophila_appressa_RMF65	1	0	0	NA	0	h12	h12	1	7
019_RMF66_6ul_BC3_01_22655.mzML	Eremophila_petrophila_petrophila_RMF66	1	0	0	NA	0	h12	h12	1	8.9
020_RMF67_6ul_BC4_01_22656.mzML	Eremophila_flaccida_flaccida_RMF67	1	1	0	NA	0	h11	h11	1	14.2
021_RMF68_6ul_BC5_01_22657.mzML	Eremophila_caespitosa_RMF68	0	0	0	NA	1	h10	h10	1	10.4
022_RMF69_6ul_BC6_01_22658.mzML	Eremophila_incisa_RMF69	1	0	0	NA	0	h12	h12	1	9.5
023_RMF70_6ul_BC7_01_22659.mzML	Eremophila_fraseri_fraseri_RMF70	1	1	1	NA	1	h11	h11	1	12.4
025_RMF72_6ul_BD1_01_22661.mzML	Eremophila_latrobei_filiformis_RMF72	0	1	1	NA	1	h10	h10	1	15.7
026_RMF73_6ul_BD2_01_22662.mzML	Eremophila_youngii_lepidota_RMF73	0	1	0	NA	0	h3	h3	1	12.1
027_RMF74_6ul_BD3_01_22663.mzML	Eremophila_tietkensii_hamersley_RMF74	0	0	0	0	1	h11	h11	1	11.8
028_RMF75_6ul_BD4_01_22664.mzML	Eremophila_jucunda_pulcherrima_RMF75	0	0	0	NA	1	h10	h10	1	6.9
030_RMF77_6ul_BD6_01_22666.mzML	Eremophila_aff_rhegos_RMF77	0	0	0	NA	1	h10	h10	1	6.3
032_RMF79_6ul_BD8_01_22668.mzML	Eremophila_cuneifolia_RMF79	1	0	1	1	1	h11	h11	1	12.8
034_RMF81_6ul_BE2_01_22670.mzML	Eremophila_humilis_RMF81	0	0	0	NA	1	h10	h10	1	12
035_RMF82_6ul_BE3_01_22671.mzML	Eremophila_demissa_RMF82	0	0	0	NA	1	h10	h10	1	12.2
038_RMF85_4ul_GE6_01_22220.mzML	Eremophila_platycalyx_Milgen_RMF85	0	1	0	NA	1	h11	h11	1	12.5
